5	3	4
5	4	3
10	6	8
10	8	6
13	5	12
13	12	5
15	9	12
15	12	9
17	8	15
17	15	8
20	12	16
20	16	12
25	7	24
25	15	20
25	20	15
25	24	7
26	10	24
26	24	10
29	20	21
29	21	20
30	18	24
30	24	18
34	16	30
34	30	16
35	21	28
35	28	21
37	12	35
37	35	12
39	15	36
39	36	15
40	24	32
40	32	24
41	9	40
41	40	9
45	27	36
45	36	27
50	14	48
50	30	40
50	40	30
50	48	14
51	24	45
51	45	24
52	20	48
52	48	20
53	28	45
53	45	28
55	33	44
55	44	33
58	40	42
58	42	40
60	36	48
60	48	36
61	11	60
61	60	11
65	16	63
65	25	60
65	33	56
65	39	52
65	52	39
65	56	33
65	60	25
65	63	16
68	32	60
68	60	32
70	42	56
70	56	42
73	48	55
73	55	48
74	24	70
74	70	24
75	21	72
75	45	60
75	60	45
75	72	21
78	30	72
78	72	30
80	48	64
80	64	48
82	18	80
82	80	18
85	13	84
85	36	77
85	40	75
85	51	68
85	68	51
85	75	40
85	77	36
85	84	13
87	60	63
87	63	60
89	39	80
89	80	39
90	54	72
90	72	54
91	35	84
91	84	35
95	57	76
95	76	57
97	65	72
97	72	65
100	28	96
100	60	80
100	80	60
100	96	28
101	20	99
101	99	20
102	48	90
102	90	48
104	40	96
104	96	40
105	63	84
105	84	63
106	56	90
106	90	56
109	60	91
109	91	60
110	66	88
110	88	66
111	36	105
111	105	36
113	15	112
113	112	15
115	69	92
115	92	69
116	80	84
116	84	80
117	45	108
117	108	45
119	56	105
119	105	56
120	72	96
120	96	72
122	22	120
122	120	22
123	27	120
123	120	27
125	35	120
125	44	117
125	75	100
125	100	75
125	117	44
125	120	35
130	32	126
130	50	120
130	66	112
130	78	104
130	104	78
130	112	66
130	120	50
130	126	32
135	81	108
135	108	81
136	64	120
136	120	64
137	88	105
137	105	88
140	84	112
140	112	84
143	55	132
143	132	55
145	17	144
145	24	143
145	87	116
145	100	105
145	105	100
145	116	87
145	143	24
145	144	17
146	96	110
146	110	96
148	48	140
148	140	48
149	51	140
149	140	51
150	42	144
150	90	120
150	120	90
150	144	42
153	72	135
153	135	72
155	93	124
155	124	93
156	60	144
156	144	60
157	85	132
157	132	85
159	84	135
159	135	84
160	96	128
160	128	96
164	36	160
164	160	36
165	99	132
165	132	99
169	65	156
169	119	120
169	120	119
169	156	65
170	26	168
170	72	154
170	80	150
170	102	136
170	136	102
170	150	80
170	154	72
170	168	26
173	52	165
173	165	52
174	120	126
174	126	120
175	49	168
175	105	140
175	140	105
175	168	49
178	78	160
178	160	78
180	108	144
180	144	108
181	19	180
181	180	19
182	70	168
182	168	70
183	33	180
183	180	33
185	57	176
185	60	175
185	104	153
185	111	148
185	148	111
185	153	104
185	175	60
185	176	57
187	88	165
187	165	88
190	114	152
190	152	114
193	95	168
193	168	95
194	130	144
194	144	130
195	48	189
195	75	180
195	99	168
195	117	156
195	156	117
195	168	99
195	180	75
195	189	48
197	28	195
197	195	28
200	56	192
200	120	160
200	160	120
200	192	56
202	40	198
202	198	40
203	140	147
203	147	140
204	96	180
204	180	96
205	45	200
205	84	187
205	123	164
205	133	156
205	156	133
205	164	123
205	187	84
205	200	45
208	80	192
208	192	80
210	126	168
210	168	126
212	112	180
212	180	112
215	129	172
215	172	129
218	120	182
218	182	120
219	144	165
219	165	144
220	132	176
220	176	132
221	21	220
221	85	204
221	104	195
221	140	171
221	171	140
221	195	104
221	204	85
221	220	21
222	72	210
222	210	72
225	63	216
225	135	180
225	180	135
225	216	63
226	30	224
226	224	30
229	60	221
229	221	60
230	138	184
230	184	138
232	160	168
232	168	160
233	105	208
233	208	105
234	90	216
234	216	90
235	141	188
235	188	141
238	112	210
238	210	112
240	144	192
240	192	144
241	120	209
241	209	120
244	44	240
244	240	44
245	147	196
245	196	147
246	54	240
246	240	54
247	95	228
247	228	95
250	70	240
250	88	234
250	150	200
250	200	150
250	234	88
250	240	70
255	39	252
255	108	231
255	120	225
255	153	204
255	204	153
255	225	120
255	231	108
255	252	39
257	32	255
257	255	32
259	84	245
259	245	84
260	64	252
260	100	240
260	132	224
260	156	208
260	208	156
260	224	132
260	240	100
260	252	64
261	180	189
261	189	180
265	23	264
265	96	247
265	140	225
265	159	212
265	212	159
265	225	140
265	247	96
265	264	23
267	117	240
267	240	117
269	69	260
269	260	69
270	162	216
270	216	162
272	128	240
272	240	128
273	105	252
273	252	105
