-4506	11162       -4506    11162       -4506    11162       -4511    11162       -4511    11162       -4506    11162
-4531	11162       -4526    11162       -4526    11162       -4526    11225       -4526    11162       -4526    11162
-4536	11162       -4550    11162       -4545    11162       -4541    11162       -4545    11162       -4541    11162
-4560	11162       -4570    11162       -4570    11162       -4560    11162       -4565    11162       -4560    11162
-4580	11162       -4580    11162       -4580    11162       -4580    11162       -4584    11162       -4589    11162
-4604	11162       -4599    11162       -4599    11162       -4609    11162       -4599    11140       -4609    11140
-4624	11140       -4624    11140       -4624    11140       -4628    11140       -4628    11140       -4624    11162
-4648	11140       -4643    11140       -4643    11140       -4643    11140       -4648    11140       -4643    11140
-4663	11140       -4667    11140       -4663    11140       -4663    11140       -4663    11140       -4663    11140
-4677	11119       -4687    11119       -4687    11140       -4682    11119       -4687    11140       -4682    11119
-4702	11119       -4697    11119       -4702    11119       -4702    11119       -4697    11119       -4702    11098
-4721	11098       -4721    11098       -4716    11098       -4726    11098       -4721    11098       -4721    11098
-4746	11077       -4741    11077       -4741    11077       -4746    11077       -4741    11077       -4746    11077
-4760	11056       -4765    11056       -4760    11056       -4760    11034       -4760    11056       -4760    11034
-4785	11013       -4780    11013       -4785    11013       -4780    11013       -4780    11013       -4780    11013
-4799	10971       -4804    10971       -4799    10971       -4799    10971       -4799    10971       -4799    10992
-4819	10928       -4819    10928       -4824    10928       -4819    10928       -4819    10928       -4824    10949
-4838	10886       -4838    10886       -4838    10886       -4838    10886       -4843    10907       -4843    10907
-4858	10843       -4858    10843       -4858    10843       -4858    10843       -4863    10843       -4858    10843
-4877	10780       -4877    10780       -4877    10780       -4877    10780       -4877    10801       -4882    10801
-4897	10737       -4902    10737       -4902    10737       -4897    10716       -4897    10737       -4897    10737
-4916	10674       -4916    10674       -4921    10674       -4916    10652       -4916    10674       -4916    10674
-4941	10610       -4941    10610       -4941    10610       -4941    10610       -4936    10610       -4936    10610
-4960	10546       -4956    10525       -4956    10525       -4960    10525       -4956    10546       -4956    10546
-4975	10461       -4975    10461       -4975    10461       -4980    10461       -4975    10483       -4975    10483
-4995	10398       -4995    10398       -4995    10398       -4995    10398       -4995    10398       -4995    10419
