Channel Modulation  Activity    Name    Receive   PL     Location
  113   FM          -           K6TEA   440.675   -      Daly City (closed)
  114   FM          -           K6CV    440.700   -      Brisbane (closed)
  115   FM          -           WB6JKV  440.725   114.8  Pacifica
  116   FM          -           N6QOP   440.750   114.8  Oakland
  117   FM          -           W6ASH   440.800   100.0  Mountain View
  118   FM          -           WI6H    440.825   114.8  Berkeley
  119   FM          -           KC6IAU  440.850   146.2  Hayward
  120   FM          -           KH6N    440.875   100.0  Los Altos
  121   FM          -           N6BRK   440.900   131.8  Berkeley
  122   FM          -           KH8AF   440.925   -      Berkeley (closed)
  123   FM          -           KB6LED  440.950   100.0  Hayward
  124   FM          -           K6ORI   440.975   123.0  Orinda
  125   FM          voice       NO1PC   441.025   110.9  Campbell
  126   FM          -           K6NN    441.050   100.0  Los Gatos
  127   FM          -           WA6TOW  441.075   114.8  Pacifica
  128   FM          -           K6GOD   441.100   -      Palo Alto (closed)
  129   FM          -           N3MMQ   441.125   100.0  Fremont
  130   FM          -           KC6BJO  441.150   100.0  San Jose
  131   FM          -           KF6FWO  441.175   103.5  San Jose
  132   FM          -           N6GVI   441.200   -      Concord (closed)
  133   FM          -           W6RCA   441.225   -      Oakland (closed)
  134   FM          -           WB6WTM  441.250   -      Los Altos (closed)
  135   FM          -           K6BEN   441.275   -      San Jose (closed)
  136   FM          -           WB6ECE  441.300   100.0  Milpitas
  137   FM          -           W6CX    441.325   100.0  Concord
  138   FM          -           W6PIY   441.350   88.5   San Jose
  139   FM          -           KC6IAU  441.375   146.2  Daly City
  140   FM          voice       N6EOC   441.400   -      Oakland (closed)
  141   FM          -           W6MTF   441.425   -      Oakland (closed)
  142   FM          -           W6EE    441.450   85.4   San Francisco
  143   FM          -           W6YOP   441.475   127.3  Oakland
  144   FM          -           K6AIR   441.525   123.0  Los Altos Hill
  145   FM          -           W6VB    441.550   -      Cupertino (closed)
  146   FM          -           K6IRC   441.575   -      Palo Alto (closed)
  147   FM          -           N6HU    441.600   -      Soledad (closed)
  148   FM          voice       W6RCA   441.625   -      San Jose (closed)
  149   FM          -           K6JSI   441.650   100.0  Richmond Heigh
  150   FM          -           WA7G    441.675   100.0  Napa
  151   FM          callsign    K6UB    441.700   127.3  Los Gatos
  152   FM          -           WA6QDP  441.725   -      San Jose (closed)
  153   FM          -           W6YOP   441.750   127.3  Concord
  154   FM          callsign    K6GOD   441.775   -      San Jose (closed)
  155   FM          -           KQ6RC   441.800   -      Hayward (closed)
  156   DMR         data        AD1U    441.825   -      Los Gatos
  157   FM          data        K6OTR   441.850   114.8  Palo Alto
  158   DMR         -           AH6KD   441.8875  -      Kensington
  159   FM          -           W6MOW   441.900   110.9  Hollister
  160   FM          -           AA6QP   441.925   88.5   Union City
  161   DMR         data        KK6USZ  441.950   -      Saratoga
  162   FM          -           W6CBS   441.975   -      Orinda (closed)
  163   FM          -           WW6HP   442.000   151.4  Palo Alto
  164   FM          -           K6SNC   442.025   100.0  Santa Clara
  165   FM          -           WA6GG   442.050   127.3  San Francisco
  166   FM          -           K6LNK   442.075   103.5  Pleasanton
  167   FM          -           W6JMX   442.100   141.3  Woodside
  168   DMR         -           K6ACS   442.1125  -      Santa Rosa
  169   FM          voice       K6PMI   442.125   -      Cupertino (closed)
  170   FM          -           WD6INC  442.150   123.0  Dublin
  171   FM          -           NO1PC   442.175   100.0  Campbell
  172   FM          -           KH8AF   442.200   -      Oakland (closed)
  173   FM          -           N6MM    442.225   110.9  Newark
  174   FM          -           KJ6ORX  442.250   100.0  Los Altos Hill
  175   FM          -           WA6ZTY  442.275   100.0  Berkeley
  176   FM          -           K6INC   442.300   114.8  Los Gatos
  177   FM          -           KD6KGE  442.325   141.3  Pescadero
  178   FM          -           K6GOD   442.350   123.0  San Jose
  179   FM          -           AB6BN   442.375   156.7  San Bruno
  180   FM          -           WB6NDJ  442.400   77.0   Oakland
  181   FM          -           W6UU    442.425   107.2  San Jose
  182   FM          voice       KJ6VU   442.450   -      Palo Alto (closed)
  183   FM          -           KF6REK  442.475   114.8  Daly City
  184   FM          callsign    WB6ZVW  442.500   100.0  San Jose
  185   FM          -           K6MFM   442.525   88.5   Walnut Creek
  186   FM          -           WB6PHE  442.5375  127.3  New Almaden
  187   FM          -           K6GOD   442.550   -      San Jose (closed)
  188   FM          -           K6FB    442.575   100.0  Palo Alto
  189   FM          -           WA6PWW  442.600   107.2  Fremont
  190   FM          -           W6SRR   442.625   94.8   Pleasanton
  191   FM          -           KQ6RC   442.650   -      Hayward (closed)
  192   FM          -           WB6UZX  442.675   -      Berkeley (closed)
  193   FM          -           N6MNV   442.700   100.0  San Jose
  194   FM          -           K6DJR   442.725   -      Berkeley (closed)
  195   FM          -           WA6RQX  442.750   141.3  Bakersfield
  196   FM          -           KU6V    442.775   131.8  San Jose
  197   FM          -           K6OTR   442.800   114.8  Palo Alto
  198   FM          -           W7AFG   442.825   173.8  San Jose
  199   FM          -           K6JDE   442.850   114.8  San Bruno
  200   FM          data        KQ6YG   442.875   100.0  Hayward
  201   FM          voice       WR6ABD  442.900   162.2  San Jose
  202   FM          -           W6RGG   442.925   -      Pleasanton (closed)
  203   FM          -           K6YZS   442.950   85.4   San Jose
  204   DMR         -           K6WL    442.9625  -      San Ramon
  205   FM          voice       K7DAA   442.975   100.0  Morgan Hill
  206   FM          noise       W6OOL   443.000   -      Palo Alto (closed)
  207   FM          -           WA6ABB  443.025   -      Los Gatos (closed)
  208   FM          voice       N6QOP   443.050   114.8  Orinda
  209   DMR         -           N6MVT   443.0625  -      Walnut Creek
  210   FM          voice       K6LNK   443.075   123.0  San Jose
  211   FM          -           W6TP    443.100   114.8  San Francisco
  212   FM          -           K6BEN   443.125   -      Saratoga (closed)
  213   FM          -           K6SA    443.150   100.0  Cupertino
  214   FM          -           KM6HJA  443.175   162.2  San Lorenzo
  215   FM          -           N6GVI   443.200   -      Oakland (closed)
  216   FM          voice       WW6BAY  443.225   100.0  Palo Alto
  217   FM          -           K6GWE   443.250   179.9  Mill Valley
  218   FM          -           K6SNY   443.275   107.2  San Jose
  219   DMR         data        AD1U    443.300   -      San Jose (closed)
  220   FM          -           K6LNK   443.325   114.8  Hayward
  221   FM          -           AC6OT   443.350   186.2  Oakland
  222   FM          -           WB6SHU  443.375   114.8  Oakland
  223   FM          data        WA6KPX  443.400   -      Fremont (closed)
  224   FM          -           WA6GG   443.425   100.0  Fremont
  225   FM          voice       K6MF    443.450   -      San Jose (closed)
  226   FM          -           K6LNK   443.475   123.0  San Jose
  227   DMR         data        K6LNK   443.500   -      Orinda
  228   DMR         -           W6SRR   443.5125  -      Pleasanton
  229   Dstar       -           KJ6WZS  443.525   123.0  Gilroy
  230   FM          voice       WB6FRM  443.550   -      San Jose (closed)
  231   P25         voice       KE6STH  443.575   110.9  San Jose
  232   FM          -           KI6B    443.600   -      Novato (closed)
  233   FM          -           K6MSR   443.625   -      San Jose (closed)
  234   FM          -           K6TEA   443.650   -      Pleasanton (closed)
  235   FM          -           K6MSR   443.675   -      Los Altos (closed)
  236   FM          voice       AC6FE   443.700   -      Frement Ca. (closed)
  237   FM          -           N6HWI   443.725   127.3  Fremont
  238   FM          -           NO1PC   443.750   100.0  Los Gatos
  239   FM          -           WA6GFY  443.775   100.0  San Jose
  240   FM          -           K6POU   443.800   100.0  Concord
  241   DMR         -           W6CMU   443.825   -      Moffett Field
  242   FM          -           W6BUG   443.850   -      LosAltosHills (closed)
  243   FM          -           W6MTF   443.875   -      Oakland (closed)
  244   FM          -           W6YL    443.900   100.0  San Jose
  245   FM          -           KG6TN   443.925   136.5  SoSanFrancisco
  246   DMR         -           AD1U    443.950   -      Los Gatos
